item_id,titulo,precio,status,category_id,seller_id
98,Peabody Smartchef Pe-ct4207,101,inactive,3,514
99,HP 255 G10,338,active,2,348
100, Smartchef Pe-ce5002 Automática Expreso P1,930,active,3,1069
101,Lenovo Ideapad Slim 3,830,active,2,4267
102,Samsung Galaxy Np750 Book3,578,active,2,4600
103,Samsung Galaxy Np750 Book3,613,active,2,8939
104,Dolce Gusto Genio S,243,active,3,6761
105, Smartchef Pe-ce5002 Automática Expreso P1,468,active,3,6633
106,Samsung Galaxy Np750 Book3,614,inactive,2,2007
107,Samsung Galaxy Np750 Book3,721,active,2,1276
108,HP 255 G10,517,active,2,8390
109,Lenovo Ideapad Slim 3,631,inactive,2,2384
110,iPhone 17 Pro Max,810,inactive,1,6648
111,Xiaomi Redmi Note 13 Pro,186,active,1,1967
112,Lenovo Ideapad Slim 3,628,inactive,2,8570
113,iPhone 17 Pro Max,753,active,1,4758
114,HP 255 G10,923,inactive,2,9573
115,Xiaomi Redmi Note 13 Pro,383,inactive,1,4480
116,Lenovo Ideapad Slim 3,940,inactive,2,5504
117,Lenovo Ideapad Slim 3,102,inactive,2,3531
118,Nespresso Essenza Mini D,627,inactive,3,2059
119,Samsung Galaxy A15,320,active,1,5342
120,HP 255 G10,405,active,2,2466
121,Samsung Galaxy Np750 Book3,958,inactive,2,2466
122,Dolce Gusto Piccolo XS,440,inactive,3,8386
123,HP 255 G10,931,inactive,2,5278
124,Samsung Galaxy A15,388,inactive,1,317
125,iPhone 16 Pro,387,inactive,1,9293
126,Samsung Galaxy A15,627,active,1,7784
127,Xiaomi Redmi Note 13 Pro,672,inactive,1,4212
128, Smartchef Pe-ce5002 Automática Expreso P1,758,inactive,3,1505
129, Smartchef Pe-ce5002 Automática Expreso P1,541,inactive,3,5342
130,Nespresso Essenza Mini D,757,active,3,3789
131,iPhone 17 Pro Max,894,active,1,698
132,Peabody Smartchef Pe-ct4207,429,active,3,9261
133,Dolce Gusto Genio S,998,active,3,9991
134,Samsung Galaxy Np750 Book3,601,inactive,2,8196
135,Lenovo Ideapad Slim 3,203,inactive,2,7765
136,Samsung Galaxy Np750 Book3,162,inactive,2,4564
137,Lenovo Ideapad Slim 3,968,inactive,2,6149
138,Lenovo Ideapad Slim 3,854,active,2,7489
139,Dolce Gusto Piccolo XS,955,active,3,8270
140,Motorola Moto G24 Power,597,inactive,1,7318
141,Lenovo Ideapad Slim 3,404,inactive,2,9610
142,Lenovo Ideapad Slim 3,531,active,2,7262
143,Motorola Moto G24 Power,678,active,1,201
144,iPhone 16 Pro,742,active,1,2416
145,MacBook Pro 13,792,active,2,5036
146, Smartchef Pe-ce5002 Automática Expreso P1,396,inactive,3,4303
147,MacBook Pro 13,261,inactive,2,232
148,iPhone 16 Pro,534,inactive,1,9403
149,Peabody Smartchef Pe-ct4207,621,active,3,3089
150,Samsung Galaxy A15,294,active,1,7465
151, Smartchef Pe-ce5002 Automática Expreso P1,640,active,3,8703
152,Lenovo Ideapad Slim 3,847,inactive,2,895
153,Peabody Smartchef Pe-ct4207,821,active,3,8397
154,Motorola Moto G24 Power,792,active,1,160
155,Lenovo Ideapad Slim 3,778,active,2,1971
156,MacBook Pro 13,755,inactive,2,7694
157,HP 255 G10,411,inactive,2,5104
158,Lenovo Ideapad Slim 3,426,inactive,2,5266
159,Samsung Galaxy A15,718,active,1,2475
160,Peabody Smartchef Pe-ct4207,828,inactive,3,4643
161,MacBook Pro 13,710,inactive,2,1019
162,MacBook Pro 13,195,inactive,2,8422
163, Smartchef Pe-ce5002 Automática Expreso P1,195,inactive,3,689
164,HP 255 G10,507,active,2,7375
165,Peabody Smartchef Pe-ct4207,829,inactive,3,6541
166,Samsung Galaxy A15,284,active,1,9554
167,Samsung Galaxy A15,491,inactive,1,7207
168,iPhone 16 Pro,666,active,1,3418
169,Lenovo Ideapad Slim 3,194,active,2,9319
170,Dolce Gusto Genio S,143,active,3,8048
171,Samsung Galaxy Np750 Book3,324,inactive,2,9527
172,iPhone 17 Pro Max,639,active,1,9527
173,Nespresso Essenza Mini D,473,inactive,3,2416
174,iPhone 16 Pro,679,inactive,1,2231
175,HP 255 G10,313,active,2,5626
176,Xiaomi Redmi Note 13 Pro,945,inactive,1,41
177,Nespresso Essenza Mini D,442,inactive,3,895
178,iPhone 17 Pro Max,977,inactive,1,3651
179,iPhone 17 Pro Max,790,inactive,1,7489
180,Xiaomi Redmi Note 13 Pro,584,active,1,5142
181,MacBook Pro 13,417,inactive,2,5522
182,Motorola Moto G24 Power,947,inactive,1,5010
183,HP 255 G10,879,inactive,2,3426
184,Nespresso Essenza Mini D,813,active,3,9557
185,Lenovo Ideapad Slim 3,352,inactive,2,4764
186,Motorola Moto G24 Power,445,inactive,1,3120
187,Nespresso Essenza Mini D,612,active,3,6578
188,Samsung Galaxy Np750 Book3,951,active,2,9122
189,Lenovo Ideapad Slim 3,550,active,2,3354
190,Dolce Gusto Genio S,560,inactive,3,1846
191,Peabody Smartchef Pe-ct4207,321,inactive,3,4369
192,Xiaomi Redmi Note 13 Pro,688,inactive,1,5057
193,Samsung Galaxy Np750 Book3,142,active,2,86
194,Nespresso Essenza Mini D,250,active,3,3853
195,Motorola Moto G24 Power,961,active,1,8745
196,Nespresso Essenza Mini D,793,active,3,6815
197,Nespresso Essenza Mini D,708,active,3,230
198,Lenovo Ideapad Slim 3,587,active,2,7844
199,Nespresso Essenza Mini D,708,active,3,5104
200,Samsung Galaxy Np750 Book3,453,active,2,3239
201,Dolce Gusto Genio S,925,active,3,2416
202,Dolce Gusto Genio S,979,inactive,3,4821
203,Lenovo Ideapad Slim 3,341,active,2,86
204,Samsung Galaxy A15,146,inactive,1,3833
205,Lenovo Ideapad Slim 3,688,inactive,2,2447
206,Peabody Smartchef Pe-ct4207,237,inactive,3,1916
207,iPhone 17 Pro Max,663,inactive,1,4697
208,Samsung Galaxy A15,789,inactive,1,895
209,Dolce Gusto Piccolo XS,706,active,3,8270
210,Motorola Moto G24 Power,813,active,1,4932
211,Nespresso Essenza Mini D,549,inactive,3,6633
212,iPhone 17 Pro Max,900,inactive,1,7694
213,iPhone 17 Pro Max,898,active,1,6409
214,Lenovo Ideapad Slim 3,679,inactive,2,4697
215,iPhone 16 Pro,209,inactive,1,9313
216,Lenovo Ideapad Slim 3,575,inactive,2,2475
217,Dolce Gusto Piccolo XS,813,active,3,4558
218,Nespresso Essenza Mini D,212,active,3,230
219,Samsung Galaxy Np750 Book3,675,inactive,2,9004
220,Samsung Galaxy Np750 Book3,436,inactive,2,9793
221,Lenovo Ideapad Slim 3,917,inactive,2,2447
222,Dolce Gusto Piccolo XS,997,inactive,3,2250
223,Nespresso Essenza Mini D,234,inactive,3,8878
224,Xiaomi Redmi Note 13 Pro,679,inactive,1,8904
225, Smartchef Pe-ce5002 Automática Expreso P1,563,active,3,5200
226,HP 255 G10,127,inactive,2,3129
227,MacBook Pro 13,205,inactive,2,3078
228,iPhone 17 Pro Max,444,inactive,1,7960
229,Lenovo Ideapad Slim 3,606,active,2,4506
230,Samsung Galaxy A15,969,inactive,1,3422
231,iPhone 16 Pro,968,inactive,1,4944
232,HP 255 G10,134,active,2,3229
233,HP 255 G10,509,inactive,2,622
234,Peabody Smartchef Pe-ct4207,357,active,3,6541
235,Xiaomi Redmi Note 13 Pro,296,inactive,1,2811
236,Nespresso Essenza Mini D,903,inactive,3,8274
237,Lenovo Ideapad Slim 3,597,inactive,2,7828
238,Samsung Galaxy Np750 Book3,571,inactive,2,8687
239,Lenovo Ideapad Slim 3,915,inactive,2,7973
240,iPhone 17 Pro Max,897,active,1,2334
241,Dolce Gusto Piccolo XS,630,inactive,3,5983
242,HP 255 G10,983,inactive,2,1747
243, Smartchef Pe-ce5002 Automática Expreso P1,640,inactive,3,6809
244,HP 255 G10,618,inactive,2,7252
245,Samsung Galaxy Np750 Book3,252,inactive,2,857
246,Samsung Galaxy A15,165,inactive,1,8390
247,Motorola Moto G24 Power,559,active,1,895
248,Samsung Galaxy Np750 Book3,358,active,2,2839
249,Lenovo Ideapad Slim 3,950,active,2,5680
250,Dolce Gusto Piccolo XS,413,inactive,3,587
251,Peabody Smartchef Pe-ct4207,598,active,3,5808
252,Lenovo Ideapad Slim 3,930,inactive,2,348
253,Lenovo Ideapad Slim 3,627,inactive,2,9004
254,Nespresso Essenza Mini D,548,active,3,1094
255,Lenovo Ideapad Slim 3,104,active,2,1695
256,iPhone 17 Pro Max,876,active,1,7719
257,Lenovo Ideapad Slim 3,712,active,2,7632
258,Dolce Gusto Piccolo XS,667,inactive,3,8627
259,Dolce Gusto Genio S,839,active,3,481
260,Samsung Galaxy A15,880,active,1,9171
261,Dolce Gusto Genio S,904,active,3,9582
262,Xiaomi Redmi Note 13 Pro,993,inactive,1,3066
263,iPhone 16 Pro,978,inactive,1,4041
264,iPhone 17 Pro Max,952,active,1,3787
265,Samsung Galaxy A15,694,active,1,8603
266,HP 255 G10,759,active,2,1971
267,Dolce Gusto Piccolo XS,400,active,3,6815
268,Samsung Galaxy Np750 Book3,464,active,2,5129
269,Xiaomi Redmi Note 13 Pro,146,inactive,1,7654
270,iPhone 17 Pro Max,734,inactive,1,7765
271,Peabody Smartchef Pe-ct4207,447,active,3,7594
272,Peabody Smartchef Pe-ct4207,570,active,3,7270
273,Xiaomi Redmi Note 13 Pro,534,active,1,9558
274,Nespresso Essenza Mini D,735,active,3,5680
275,Xiaomi Redmi Note 13 Pro,527,inactive,1,1844
276,Peabody Smartchef Pe-ct4207,521,inactive,3,889
277,iPhone 16 Pro,432,active,1,8066
278,Nespresso Essenza Mini D,110,inactive,3,4934
279,Dolce Gusto Genio S,399,inactive,3,6784
280,Xiaomi Redmi Note 13 Pro,692,inactive,1,5175
281, Smartchef Pe-ce5002 Automática Expreso P1,986,inactive,3,1281
282,Dolce Gusto Piccolo XS,146,active,3,261
283,Lenovo Ideapad Slim 3,467,active,2,14
284, Smartchef Pe-ce5002 Automática Expreso P1,611,active,3,5119
285,Peabody Smartchef Pe-ct4207,958,inactive,3,6541
286,Lenovo Ideapad Slim 3,942,inactive,2,2211
287,Dolce Gusto Genio S,999,active,3,2134
288,MacBook Pro 13,198,inactive,2,288
289,Dolce Gusto Piccolo XS,670,active,3,1938
290,Xiaomi Redmi Note 13 Pro,652,inactive,1,8879
291,Peabody Smartchef Pe-ct4207,146,active,3,288
292,Samsung Galaxy A15,907,inactive,1,960
293,iPhone 17 Pro Max,237,active,1,5761
294,Samsung Galaxy A15,398,inactive,1,3919
295,Lenovo Ideapad Slim 3,719,active,2,1505
296,Samsung Galaxy A15,512,active,1,7719
297, Smartchef Pe-ce5002 Automática Expreso P1,601,active,3,6261
298,Lenovo Ideapad Slim 3,317,active,2,6124
299,Xiaomi Redmi Note 13 Pro,787,inactive,1,3815
300,HP 255 G10,731,inactive,2,8918
301,MacBook Pro 13,617,inactive,2,9293
302,Motorola Moto G24 Power,513,inactive,1,2897
303,Dolce Gusto Genio S,279,active,3,5152
304,Samsung Galaxy Np750 Book3,211,inactive,2,4932
305,Dolce Gusto Genio S,686,active,3,6350
306,iPhone 16 Pro,112,active,1,271
307, Smartchef Pe-ce5002 Automática Expreso P1,915,active,3,8627
308,Dolce Gusto Piccolo XS,487,inactive,3,5010
309,Lenovo Ideapad Slim 3,563,inactive,2,7465
310,HP 255 G10,931,inactive,2,2928
311,Dolce Gusto Genio S,540,active,3,1005
312, Smartchef Pe-ce5002 Automática Expreso P1,759,inactive,3,4628
313,Motorola Moto G24 Power,333,active,1,5746
314,iPhone 17 Pro Max,798,inactive,1,3138
315,Lenovo Ideapad Slim 3,349,active,2,3105
316,Lenovo Ideapad Slim 3,193,active,2,2007
317,Lenovo Ideapad Slim 3,332,active,2,4763
318,iPhone 16 Pro,883,active,1,4157
319,Peabody Smartchef Pe-ct4207,109,inactive,3,9906
320,HP 255 G10,223,inactive,2,8270
321,Samsung Galaxy A15,287,inactive,1,1069
322,MacBook Pro 13,432,active,2,8687
323,Peabody Smartchef Pe-ct4207,383,inactive,3,9991
324,HP 255 G10,444,active,2,1390
325,iPhone 17 Pro Max,904,inactive,1,4799
326,Samsung Galaxy Np750 Book3,725,active,2,1669
327,iPhone 17 Pro Max,986,active,1,1505
328, Smartchef Pe-ce5002 Automática Expreso P1,767,inactive,3,7881
329,Dolce Gusto Genio S,518,active,3,3910
330,Samsung Galaxy Np750 Book3,896,inactive,2,5803
331,Peabody Smartchef Pe-ct4207,543,active,3,1017
332,Dolce Gusto Piccolo XS,371,inactive,3,3485
333, Smartchef Pe-ce5002 Automática Expreso P1,168,inactive,3,7169
334,Xiaomi Redmi Note 13 Pro,815,active,1,1916
335,Dolce Gusto Genio S,354,active,3,9348
336,Samsung Galaxy Np750 Book3,887,inactive,2,4771
337,Peabody Smartchef Pe-ct4207,393,active,3,6869
338,Samsung Galaxy Np750 Book3,895,inactive,2,7758
339,HP 255 G10,143,active,2,888
340,MacBook Pro 13,507,active,2,9117
341,MacBook Pro 13,819,inactive,2,3138
342,Motorola Moto G24 Power,142,active,1,2120
343,Nespresso Essenza Mini D,865,active,3,8904
344,Xiaomi Redmi Note 13 Pro,799,active,1,6648
345,iPhone 16 Pro,985,active,1,1281
346,Samsung Galaxy A15,381,active,1,4127
347,Dolce Gusto Genio S,541,active,3,7089
348,Lenovo Ideapad Slim 3,480,inactive,2,640
349,Samsung Galaxy A15,803,active,1,5261
350,Dolce Gusto Genio S,315,inactive,3,9920
351,HP 255 G10,925,active,2,9558
352,MacBook Pro 13,660,inactive,2,9812
353, Smartchef Pe-ce5002 Automática Expreso P1,772,active,3,7814
354,Xiaomi Redmi Note 13 Pro,656,active,1,3418
355,Peabody Smartchef Pe-ct4207,600,active,3,6253
356,Peabody Smartchef Pe-ct4207,568,active,3,5382
357,MacBook Pro 13,352,inactive,2,3994
358,Lenovo Ideapad Slim 3,272,active,2,4369
359,Motorola Moto G24 Power,482,inactive,1,8441
360,Dolce Gusto Piccolo XS,802,inactive,3,2250
361,Xiaomi Redmi Note 13 Pro,719,active,1,8266
362,MacBook Pro 13,677,inactive,2,348
363,Xiaomi Redmi Note 13 Pro,233,inactive,1,7489
364,Samsung Galaxy A15,619,inactive,1,201
365,Peabody Smartchef Pe-ct4207,584,inactive,3,4539
366,Dolce Gusto Piccolo XS,565,inactive,3,5967
367,iPhone 16 Pro,796,active,1,9906
368,HP 255 G10,147,inactive,2,5068
369,iPhone 16 Pro,985,active,1,640
370,Samsung Galaxy A15,944,inactive,1,9112
371,HP 255 G10,678,active,2,6578
372,Lenovo Ideapad Slim 3,893,inactive,2,5877
373,iPhone 17 Pro Max,641,inactive,1,4838
374,MacBook Pro 13,553,inactive,2,4044
375,Samsung Galaxy A15,354,inactive,1,9556
376,Samsung Galaxy A15,956,inactive,1,5036
377,MacBook Pro 13,323,inactive,2,5877
378,Lenovo Ideapad Slim 3,406,active,2,6442
379,MacBook Pro 13,623,active,2,4744
380,Samsung Galaxy A15,281,active,1,2447
381,Nespresso Essenza Mini D,217,inactive,3,3586
382,Nespresso Essenza Mini D,197,inactive,3,1585
383,Lenovo Ideapad Slim 3,468,inactive,2,1358
384,Peabody Smartchef Pe-ct4207,110,inactive,3,1186
385,Samsung Galaxy A15,362,inactive,1,1270
386,Peabody Smartchef Pe-ct4207,528,inactive,3,6124
387,iPhone 17 Pro Max,526,inactive,1,9293
388,iPhone 16 Pro,520,active,1,4267
389,MacBook Pro 13,263,active,2,9112
390,HP 255 G10,906,active,2,2416
391,iPhone 16 Pro,430,inactive,1,9182
392,HP 255 G10,787,active,2,3285
393,Dolce Gusto Piccolo XS,805,inactive,3,3105
394,Dolce Gusto Genio S,644,active,3,7973
395,iPhone 17 Pro Max,435,active,1,392
396,iPhone 16 Pro,331,inactive,1,5626
397,Peabody Smartchef Pe-ct4207,361,active,3,8220
398,Peabody Smartchef Pe-ct4207,159,inactive,3,4564
399,Motorola Moto G24 Power,214,inactive,1,7252
400,Motorola Moto G24 Power,362,inactive,1,6382
401,Dolce Gusto Genio S,245,active,3,5591
402, Smartchef Pe-ce5002 Automática Expreso P1,357,active,3,5680
403,Dolce Gusto Piccolo XS,653,active,3,3815
404,Lenovo Ideapad Slim 3,483,inactive,2,9582
405,Samsung Galaxy Np750 Book3,566,inactive,2,8603
406,iPhone 16 Pro,348,active,1,2222
407,Peabody Smartchef Pe-ct4207,694,active,3,4600
408,iPhone 17 Pro Max,575,active,1,6761
409,iPhone 17 Pro Max,647,inactive,1,8878
410,Nespresso Essenza Mini D,192,active,3,9004
411,iPhone 17 Pro Max,944,active,1,3426
412,Peabody Smartchef Pe-ct4207,912,inactive,3,4267
413,Dolce Gusto Piccolo XS,665,inactive,3,9004
414,MacBook Pro 13,983,active,2,4771
415,Xiaomi Redmi Note 13 Pro,609,active,1,2882
416,Lenovo Ideapad Slim 3,427,active,2,5626
417,iPhone 16 Pro,176,active,1,9322
418,HP 255 G10,652,active,2,8518
419,Motorola Moto G24 Power,352,inactive,1,4920
420,Dolce Gusto Piccolo XS,442,active,3,1555
421,MacBook Pro 13,146,inactive,2,6863
422, Smartchef Pe-ce5002 Automática Expreso P1,493,active,3,4920
423,Samsung Galaxy Np750 Book3,685,active,2,4767
424,Nespresso Essenza Mini D,986,inactive,3,1844
425,Peabody Smartchef Pe-ct4207,737,active,3,2475
426,Lenovo Ideapad Slim 3,413,inactive,2,2926
427,Xiaomi Redmi Note 13 Pro,276,active,1,9122
428,HP 255 G10,679,inactive,2,3792
429,Samsung Galaxy A15,788,active,1,1052
430,MacBook Pro 13,573,inactive,2,4838
431,MacBook Pro 13,294,active,2,9182
432,Peabody Smartchef Pe-ct4207,232,inactive,3,5504
433,MacBook Pro 13,794,active,2,4263
434,Samsung Galaxy Np750 Book3,796,active,2,6744
435, Smartchef Pe-ce5002 Automática Expreso P1,103,inactive,3,622
436,Motorola Moto G24 Power,116,active,1,9403
437,Peabody Smartchef Pe-ct4207,647,inactive,3,6253
438,Dolce Gusto Genio S,785,inactive,3,2200
439,Xiaomi Redmi Note 13 Pro,886,active,1,1669
440,Samsung Galaxy Np750 Book3,310,inactive,2,9413
441,iPhone 17 Pro Max,932,active,1,8269
442,Samsung Galaxy Np750 Book3,915,active,2,300
443,iPhone 16 Pro,311,inactive,1,4910
444,Samsung Galaxy A15,645,active,1,5508
445,Peabody Smartchef Pe-ct4207,507,active,3,3884
446,Dolce Gusto Piccolo XS,263,inactive,3,3138
447,iPhone 17 Pro Max,216,inactive,1,5508
448,Motorola Moto G24 Power,298,inactive,1,9610
449,Dolce Gusto Genio S,711,inactive,3,8918
450,Lenovo Ideapad Slim 3,140,inactive,2,7365
451,HP 255 G10,729,inactive,2,3485
452,Lenovo Ideapad Slim 3,901,inactive,2,1959
453,Motorola Moto G24 Power,492,active,1,3617
454,Nespresso Essenza Mini D,662,active,3,960
455,Dolce Gusto Genio S,356,active,3,5068
456,Peabody Smartchef Pe-ct4207,250,inactive,3,4154
457,Lenovo Ideapad Slim 3,331,active,2,4600
458,Dolce Gusto Genio S,485,active,3,2705
459,Lenovo Ideapad Slim 3,831,inactive,2,2200
460,iPhone 16 Pro,482,inactive,1,1646
461,Samsung Galaxy A15,996,active,1,2334
462,Lenovo Ideapad Slim 3,533,inactive,2,8096
463,Xiaomi Redmi Note 13 Pro,265,inactive,1,5939
464,iPhone 17 Pro Max,770,inactive,1,9174
465,MacBook Pro 13,306,inactive,2,7758
466,iPhone 16 Pro,944,active,1,5057
467,Dolce Gusto Piccolo XS,680,inactive,3,7282
468,iPhone 17 Pro Max,599,active,1,2384
469,Dolce Gusto Genio S,917,inactive,3,8422
470,MacBook Pro 13,569,inactive,2,6863
471,Samsung Galaxy A15,279,inactive,1,9413
472,Samsung Galaxy A15,595,active,1,9174
473,Motorola Moto G24 Power,266,active,1,5036
474,Dolce Gusto Piccolo XS,192,active,3,7262
475,Peabody Smartchef Pe-ct4207,475,active,3,9991
476,HP 255 G10,742,active,2,8878
477, Smartchef Pe-ce5002 Automática Expreso P1,742,inactive,3,8823
478,Motorola Moto G24 Power,854,active,1,7489
479,HP 255 G10,729,inactive,2,8608
480,HP 255 G10,533,active,2,8128
481,Dolce Gusto Genio S,316,inactive,3,6550
482,iPhone 16 Pro,126,active,1,7694
483, Smartchef Pe-ce5002 Automática Expreso P1,876,inactive,3,230
484,Samsung Galaxy Np750 Book3,217,active,2,6889
485,iPhone 16 Pro,316,active,1,2231
486,Dolce Gusto Genio S,303,inactive,3,261
487,Dolce Gusto Piccolo XS,353,active,3,9319
488,HP 255 G10,611,inactive,2,2231
489,Motorola Moto G24 Power,844,inactive,1,5142
490,HP 255 G10,637,active,2,4821
491,Motorola Moto G24 Power,170,active,1,8623
492,MacBook Pro 13,272,inactive,2,7611
493,iPhone 17 Pro Max,769,inactive,1,888
494,Lenovo Ideapad Slim 3,329,active,2,3129
495,Dolce Gusto Genio S,787,active,3,7784
496,Lenovo Ideapad Slim 3,271,active,2,6864
497,Nespresso Essenza Mini D,165,inactive,3,5818
498,MacBook Pro 13,312,inactive,2,8093
499,Dolce Gusto Genio S,606,active,3,1063
500,Peabody Smartchef Pe-ct4207,829,active,3,7740
501,Nespresso Essenza Mini D,587,inactive,3,3129
502,Lenovo Ideapad Slim 3,970,active,2,1747
503,Xiaomi Redmi Note 13 Pro,832,active,1,3078
504,Motorola Moto G24 Power,265,inactive,1,4910
505,Samsung Galaxy A15,596,active,1,9900
506,iPhone 17 Pro Max,899,active,1,6869
507,Xiaomi Redmi Note 13 Pro,867,active,1,6382
508,Motorola Moto G24 Power,662,active,1,3053
509,Xiaomi Redmi Note 13 Pro,839,active,1,1286
510,iPhone 17 Pro Max,104,active,1,6479
511,Nespresso Essenza Mini D,784,active,3,5119
512,Motorola Moto G24 Power,779,inactive,1,7501
513,Nespresso Essenza Mini D,578,inactive,3,3233
514,Dolce Gusto Piccolo XS,572,active,3,1585
515,Lenovo Ideapad Slim 3,540,active,2,1332
516,Samsung Galaxy A15,441,active,1,1892
517, Smartchef Pe-ce5002 Automática Expreso P1,228,inactive,3,4303
518,Samsung Galaxy Np750 Book3,116,active,2,5643
519,Dolce Gusto Genio S,972,inactive,3,1321
520,Lenovo Ideapad Slim 3,317,inactive,2,5504
521,iPhone 16 Pro,220,inactive,1,2416
522,Peabody Smartchef Pe-ct4207,876,inactive,3,8904
523,Samsung Galaxy Np750 Book3,215,active,2,9906
524,Dolce Gusto Piccolo XS,642,active,3,1938
