order_id,item_id,seller_id,buyer_id,cantidad,precio,order_date
180,777,5200,2950,4,577,2020-06-08
181,1391,6073,1602,1,108,2020-07-09
182,392,3285,7128,3,787,2020-11-24
183,541,2348,4692,4,266,2020-10-26
184,1422,3888,6332,2,276,2020-05-24
185,644,3994,7368,2,111,2020-03-17
186,37,6784,7012,1,370,2020-12-23
187,1083,8066,7987,4,807,2020-10-23
188,708,6873,1478,3,786,2020-11-27
189,1473,8390,1818,1,826,2020-09-22
190,427,9122,3609,1,276,2020-01-27
191,494,3129,6460,1,329,2020-06-05
192,832,4303,5591,2,151,2020-10-21
193,90,1585,3388,4,169,2020-07-10
194,988,9596,5101,2,397,2020-10-31
195,193,86,598,3,142,2020-07-10
196,1042,5803,3438,4,462,2020-08-20
197,1090,9276,2394,3,553,2020-04-22
198,451,3485,1441,1,729,2020-08-10
199,393,3105,398,1,805,2020-08-24
200,758,6471,3346,4,711,2020-09-05
201,904,4303,8015,3,478,2020-04-27
202,798,640,4590,4,280,2020-03-15
203,705,5261,5945,4,461,2020-10-10
204,1100,8685,4020,2,768,2020-02-11
205,503,3078,2921,2,832,2020-01-20
206,1193,1094,1315,3,534,2020-04-30
207,877,3616,7744,3,449,2020-11-30
208,1330,1281,3689,1,102,2020-01-29
209,195,8745,6637,1,961,2020-03-22
210,1197,3120,6225,3,451,2020-06-28
211,1123,6962,2843,3,804,2020-07-16
212,1310,4212,3341,4,722,2020-12-07
213,18,3422,568,4,908,2020-04-16
214,361,8266,7459,2,719,2020-08-25
215,1375,1069,8647,2,115,2020-12-11
216,1096,5111,6848,2,362,2020-09-23
217,535,1938,3576,3,974,2020-07-11
218,1034,6611,5346,3,248,2020-11-06
219,230,3422,2373,4,969,2020-08-23
220,229,4506,479,4,606,2020-07-22
221,266,1971,9221,1,759,2020-03-20
222,987,5808,9331,3,592,2020-12-15
223,766,4506,5703,3,469,2020-04-07
224,1196,1646,6237,4,535,2020-10-05
225,1278,8835,6932,4,207,2020-06-10
226,943,1959,7098,2,449,2020-04-09
227,698,3736,2141,2,447,2020-08-15
228,1497,5017,8585,1,294,2020-10-14
229,1151,9741,5474,3,537,2020-07-03
230,1027,9812,9802,3,860,2020-04-22
231,112,8570,5345,4,628,2020-01-24
232,440,9413,7188,2,310,2020-11-16
233,886,4758,6760,4,632,2020-12-21
234,1415,9322,7758,1,267,2020-10-18
235,811,8703,3103,2,907,2020-08-17
236,638,8875,7612,3,945,2020-04-16
237,1436,3426,3347,2,300,2020-05-09
238,33,348,3032,2,957,2020-08-11
239,485,2231,6384,3,316,2020-10-06
240,891,160,6622,3,166,2020-11-23
241,942,2897,5540,3,180,2020-08-12
242,831,8397,6707,2,223,2020-11-28
243,928,942,8333,2,219,2020-08-28
244,688,1844,3312,1,166,2020-08-09
245,16,8048,69,4,477,2020-12-01
246,1224,8241,7600,4,700,2020-06-12
247,1070,1332,9580,1,334,2020-01-15
248,100,1069,2928,3,930,2020-02-23
249,285,6541,1865,1,958,2020-07-18
250,178,3651,4420,1,977,2020-10-11
251,371,6578,116,4,678,2020-06-28
252,1016,133,2047,4,640,2020-07-09
253,190,1846,8947,3,560,2020-08-11
254,1097,3239,7027,3,428,2020-05-08
255,383,1358,412,3,468,2020-01-17
256,259,481,5048,1,839,2020-05-13
257,1248,698,5763,3,696,2020-07-29
258,828,4940,1810,1,680,2020-07-31
259,1389,8241,2863,4,488,2020-08-12
260,930,3233,3020,2,249,2020-12-24
261,646,5395,7821,3,754,2020-03-15
262,215,9313,8372,3,209,2020-08-06
263,1061,4821,1875,3,644,2020-03-16
264,1017,6611,5986,3,736,2020-06-20
265,730,9777,2193,3,755,2020-07-09
266,973,300,3131,1,809,2020-08-11
267,537,2384,155,1,402,2020-07-30
268,477,8823,748,1,742,2020-08-28
269,267,6815,1170,2,400,2020-09-09
270,701,3078,1700,4,471,2020-07-14
271,29,4799,7515,4,301,2020-02-15
272,1245,4303,4013,2,728,2020-01-29
273,458,2705,3718,1,485,2020-12-01
274,93,9155,3156,4,456,2020-04-04
275,1051,3853,9684,1,850,2020-09-15
276,52,5342,5959,2,773,2020-08-12
277,736,6873,3397,1,812,2020-06-15
278,486,261,2651,2,303,2020-05-09
279,961,2705,1459,2,196,2020-07-09
280,631,640,6354,4,645,2020-12-21
281,887,9777,205,4,581,2020-01-21
282,1344,3910,3881,3,265,2020-03-19
283,373,4838,9894,4,641,2020-11-12
284,394,7973,3431,2,644,2020-08-29
285,987,5808,3499,3,592,2020-09-18
286,111,1967,4975,1,186,2020-10-31
287,217,4558,5547,4,813,2020-09-16
288,830,1505,6854,1,513,2020-12-26
289,845,6243,2308,4,648,2020-11-07
290,731,3939,5099,1,534,2020-02-09
291,852,3422,3910,4,494,2020-01-18
292,1428,7654,5467,2,457,2020-09-10
293,642,8397,8517,1,767,2020-03-19
294,828,4940,45,4,680,2020-04-26
295,655,8270,1063,1,924,2020-02-14
296,1176,5104,463,2,799,2020-11-16
297,25,698,2685,1,818,2020-08-04
298,1210,7221,6317,4,545,2020-08-03
299,271,7594,648,1,447,2020-07-16
300,1340,3418,331,3,533,2020-08-21
301,964,2231,8576,1,574,2020-05-04
302,1141,8390,9272,4,537,2020-05-12
303,764,8904,30,4,310,2020-01-10
304,383,1358,8143,1,468,2020-11-29
305,119,5342,441,2,320,2020-06-01
306,539,261,2494,3,116,2020-07-21
307,1128,8766,5277,4,974,2020-04-29
308,716,3078,9832,2,823,2020-12-07
309,1220,1747,4031,1,632,2020-02-13
310,1382,1275,4215,3,870,2020-02-14
311,691,1052,5345,2,539,2020-01-08
312,1096,5111,113,4,362,2020-03-10
313,1200,2777,548,4,426,2020-08-22
314,62,1646,3048,4,564,2020-06-05
315,580,7058,6245,4,723,2020-07-05
316,908,1092,7191,4,246,2020-08-07
317,1151,9741,991,3,537,2020-02-14
318,1034,6611,3594,2,248,2020-02-08
319,536,9900,7904,3,515,2020-07-12
320,152,895,4848,4,847,2020-02-12
321,587,6761,3,2,629,2020-01-11
322,1473,8390,2542,4,826,2020-04-16
323,1341,2897,1619,1,286,2020-12-20
324,1237,7881,1250,4,580,2020-02-14
325,586,7755,7186,1,333,2020-10-08
326,440,9413,9765,2,310,2020-09-19
327,615,5591,4058,2,748,2020-07-03
328,193,86,9377,1,142,2020-05-26
329,643,4129,9661,1,528,2020-09-22
330,495,7784,2745,3,787,2020-01-12
331,155,1971,876,3,778,2020-09-19
332,914,133,5328,4,242,2020-10-17
333,349,5261,7645,2,803,2020-07-08
334,765,9006,6197,3,541,2020-12-13
335,1167,6654,754,3,737,2020-05-22
336,446,3138,1612,4,263,2020-03-04
337,435,622,1194,3,103,2020-12-11
338,1100,8685,3844,1,768,2020-05-03
339,163,689,5174,3,195,2020-04-11
340,202,4821,7035,1,979,2020-06-01
341,1174,5592,9281,1,407,2020-08-08
342,886,4758,2417,3,632,2020-06-26
343,852,3422,1653,2,494,2020-05-05
344,1038,5814,11,4,816,2020-02-11
345,1339,1197,9927,1,963,2020-02-21
346,94,6514,684,2,269,2020-03-20
347,834,1384,6955,4,956,2020-05-13
348,1190,4763,3314,2,584,2020-08-22
349,1067,3792,5579,4,559,2020-01-20
350,311,1005,7612,3,540,2020-02-16
351,1263,2839,6208,2,396,2020-12-26
352,758,6471,1959,2,711,2020-06-19
353,48,3813,115,3,166,2020-10-27
354,1351,9777,659,1,286,2020-01-23
355,895,7325,8752,2,807,2020-06-13
356,489,5142,3707,1,844,2020-07-31
357,924,7867,361,4,492,2020-06-21
358,1291,5967,8224,1,378,2020-09-03
359,1326,9797,9373,2,884,2020-01-28
360,853,423,4343,1,302,2020-02-04
361,1201,7881,8046,4,667,2020-03-14
362,223,8878,2388,2,234,2020-11-25
363,134,8196,5535,1,601,2020-08-08
364,521,2416,7590,2,220,2020-10-05
365,794,8918,8630,4,164,2020-06-10
366,1335,9557,6685,4,490,2020-01-09
367,531,392,1008,3,937,2020-05-12
368,1227,9082,6958,4,550,2020-11-20
369,1050,1938,8985,4,784,2020-09-27
370,581,5152,6005,2,625,2020-12-21
371,468,2384,186,1,599,2020-07-24
372,957,2211,9308,4,711,2020-12-09
373,679,1063,4546,2,236,2020-04-17
374,707,5746,4553,4,189,2020-07-07
375,225,5200,4564,3,563,2020-04-02
376,66,271,8650,4,971,2020-10-11
377,891,160,5699,4,166,2020-05-08
378,1314,1094,9403,1,284,2020-05-14
379,472,9174,7587,2,595,2020-07-02
380,508,3053,9273,1,662,2020-09-20
381,982,9358,3764,1,632,2020-02-05
382,1292,348,7661,2,902,2020-11-25
383,1423,9155,8863,2,190,2020-04-02
384,155,1971,8265,1,778,2020-06-06
385,1447,5719,8580,4,370,2020-10-06
386,388,4267,3299,1,520,2020-06-19
387,1110,232,5524,4,911,2020-03-02
388,1069,2882,1458,2,367,2020-09-02
389,1316,5950,2169,4,398,2020-11-17
390,211,6633,2282,1,549,2020-04-03
391,664,288,1857,4,164,2020-10-31
392,128,1505,8389,1,758,2020-05-04
393,911,7765,9228,1,807,2020-07-23
394,594,8481,283,1,830,2020-05-06
395,157,5104,3918,4,411,2020-08-12
396,946,1275,1047,1,165,2020-05-20
397,359,8441,3473,3,482,2020-08-17
398,338,7758,4649,2,895,2020-08-20
399,85,6611,9522,2,627,2020-10-08
400,735,8687,9952,3,137,2020-11-29
401,43,8879,2282,4,283,2020-12-30
402,750,3418,3343,3,472,2020-06-25
403,258,8627,6764,1,667,2020-01-15
404,216,2475,6900,4,575,2020-04-17
405,633,2813,1053,1,433,2020-11-20
406,1370,9082,3339,2,148,2020-12-15
407,941,3888,4468,1,527,2020-01-13
408,271,7594,8690,3,447,2020-02-05
409,1248,698,1395,2,696,2020-10-17
410,942,2897,982,3,180,2020-07-03
411,289,1938,6577,2,670,2020-03-14
412,733,7089,309,3,326,2020-08-19
413,559,1186,9061,4,482,2020-12-08
414,1043,4533,7450,3,793,2020-08-28
415,34,1559,8873,3,231,2020-04-05
416,733,7089,6975,2,326,2020-07-13
417,563,4558,2094,2,843,2020-03-16
418,1080,6815,6975,3,470,2020-05-31
419,742,4763,8790,2,595,2020-08-25
420,463,5939,5535,2,265,2020-10-15
421,202,4821,5288,3,979,2020-09-29
422,552,6654,107,3,202,2020-11-14
423,1278,8835,2124,2,207,2020-05-23
424,304,4932,9247,2,211,2020-01-16
425,486,261,1962,1,303,2020-07-06
426,41,8603,8863,1,830,2020-08-15
427,786,7828,169,1,336,2020-03-31
428,1341,2897,2910,1,286,2020-05-17
429,783,2599,1546,2,270,2020-05-14
430,1471,2231,8715,4,671,2020-12-10
431,173,2416,9541,2,473,2020-06-29
432,748,18,7954,4,195,2020-06-23
433,1497,5017,8518,1,294,2020-06-18
434,470,6863,8413,2,569,2020-04-29
435,1387,8687,5516,3,228,2020-04-01
436,805,4767,9579,2,473,2020-03-05
437,390,2416,1872,3,906,2020-08-21
438,972,7375,2654,1,930,2020-03-20
439,1483,8422,2732,1,874,2020-01-27
440,503,3078,5097,4,832,2020-10-06
441,681,9570,972,3,703,2020-11-11
442,915,7169,9179,2,459,2020-12-19
443,1077,2059,5159,3,246,2020-08-06
444,566,2120,8393,3,343,2020-02-14
445,359,8441,8915,3,482,2020-08-28
446,1195,5010,6310,2,667,2020-05-24
447,1035,4920,9857,2,515,2020-08-01
448,577,8441,8516,4,769,2020-08-10
449,76,2945,985,1,822,2020-02-21
450,1325,1019,7286,1,287,2020-05-22
451,496,6864,2836,2,271,2020-09-14
452,527,9762,9467,1,283,2020-04-25
453,1329,7594,8134,1,480,2020-11-17
454,1279,4771,3325,3,464,2020-06-10
455,1118,8570,4875,2,870,2020-09-28
456,351,9558,4512,3,925,2020-03-09
457,105,6633,5632,4,468,2020-05-21
458,656,1627,574,2,522,2020-03-29
459,1403,2928,9800,1,622,2020-03-18
460,350,9920,159,3,315,2020-03-20
461,556,8823,5353,1,721,2020-10-22
462,982,9358,5057,4,632,2020-09-07
463,105,6633,4764,3,468,2020-03-09
464,770,4763,8635,1,376,2020-07-26
465,143,201,2268,3,678,2020-10-29
466,704,3815,7545,4,822,2020-04-24
467,79,7694,7645,3,952,2020-12-06
468,814,5204,5617,3,643,2020-04-12
469,164,7375,3355,3,507,2020-11-01
470,927,6744,3381,3,727,2020-04-05
471,57,6192,1685,1,649,2020-10-07
472,872,8048,3648,1,156,2020-05-07
473,190,1846,3163,1,560,2020-05-04
474,278,4934,5003,4,110,2020-12-11
475,44,9403,9338,3,657,2020-08-30
476,1462,5119,1900,3,646,2020-12-18
477,1159,9877,8382,2,830,2020-12-17
478,889,18,7090,1,511,2020-10-23
479,520,5504,7403,3,317,2020-06-10
480,1488,3919,6511,3,359,2020-08-06
481,865,3129,1614,2,377,2020-06-14
482,1034,6611,5046,4,248,2020-09-22
483,212,7694,7512,1,900,2020-11-27
484,1126,9556,8400,2,124,2020-05-18
485,1217,4767,6426,2,289,2020-06-22
486,628,8878,7294,4,924,2020-04-15
487,462,8096,9004,1,533,2020-07-24
488,397,8220,7272,1,361,2020-03-29
489,1270,1557,1615,2,145,2020-10-28
490,1176,5104,4724,4,799,2020-04-22
491,349,5261,3059,3,803,2020-11-23
492,485,2231,9892,4,316,2020-10-02
493,111,1967,1980,4,186,2020-06-10
494,251,5808,8377,3,598,2020-04-09
495,1360,7122,814,4,972,2020-03-03
496,790,6409,8035,2,210,2020-07-05
497,1189,8385,3905,3,401,2020-02-20
498,1388,1646,7653,4,723,2020-01-14
499,930,3233,925,4,249,2020-11-05
500,1342,3133,26,4,233,2020-07-17
501,169,9319,1768,4,194,2020-05-31
502,964,2231,8,2,574,2020-06-18
503,934,1559,6209,4,655,2020-06-09
504,693,9582,6873,2,246,2020-07-08
505,534,7632,6162,4,944,2020-02-17
506,365,4539,8631,4,584,2020-09-13
507,1270,1557,3090,1,145,2020-04-23
508,1428,7654,4342,1,457,2020-11-04
509,751,951,8041,1,813,2020-07-11
510,96,3511,6604,2,545,2020-10-31
511,577,8441,3094,1,769,2020-09-01
512,527,9762,6693,3,283,2020-07-06
513,186,3120,6988,4,445,2020-05-23
514,267,6815,9497,1,400,2020-02-12
515,148,9403,8614,2,534,2020-12-15
516,1351,9777,8498,3,286,2020-12-11
517,911,7765,1554,3,807,2020-09-23
518,46,9293,5037,1,352,2020-11-05
519,1289,4966,3760,4,455,2020-07-03
520,757,4794,811,1,683,2020-04-21
521,303,5152,442,1,279,2020-01-25
522,790,6409,6814,4,210,2020-08-09
523,523,9906,3573,4,215,2020-10-07
524,783,2599,8564,3,270,2020-01-24
525,1467,4794,8233,3,759,2020-12-19
526,24,5643,1354,2,182,2020-05-19
527,44,9403,692,4,657,2020-04-28
528,935,9924,1319,4,633,2020-07-06
529,1193,1094,7389,4,534,2020-10-14
530,489,5142,3883,2,844,2020-03-12
531,89,3105,8674,3,493,2020-02-11
532,1130,1585,7417,3,330,2020-04-07
533,424,1844,3360,3,986,2020-09-21
534,911,7765,7548,2,807,2020-08-01
535,498,8093,9213,1,312,2020-09-18
536,347,7089,7047,3,541,2020-09-09
537,951,3149,6544,1,212,2020-12-08
538,527,9762,1911,4,283,2020-06-03
539,1040,7219,685,2,791,2020-11-13
540,62,1646,7734,4,564,2020-11-04
541,1292,348,7990,3,902,2020-02-18
542,196,6815,3302,4,793,2020-05-23
543,1045,2211,2613,4,463,2020-03-25
544,866,6382,6774,4,768,2020-01-15
545,1046,3736,4890,2,873,2020-04-12
546,662,9112,2692,1,371,2020-04-27
547,80,689,4974,2,664,2020-02-03
548,1319,4154,4798,4,264,2020-09-05
549,488,2231,5911,3,611,2020-10-05
550,1414,3129,1813,1,827,2020-12-19
551,360,2250,8225,1,802,2020-10-20
552,973,300,7065,2,809,2020-04-15
553,703,4744,2408,3,960,2020-06-20
554,1094,2830,319,4,736,2020-09-28
555,913,1052,9887,3,186,2020-02-23
556,1366,8437,8670,4,122,2020-08-16
557,543,3129,520,4,757,2020-09-09
558,1370,9082,2855,4,148,2020-01-14
559,1058,6011,6880,4,568,2020-03-27
560,801,3910,8910,4,820,2020-11-10
561,252,348,8569,1,930,2020-09-18
562,569,423,2493,2,562,2020-01-03
563,791,9900,6219,3,943,2020-12-14
564,662,9112,7281,3,371,2020-02-02
565,676,9313,998,1,210,2020-01-01
566,1167,6654,5982,4,737,2020-10-29
567,1123,6962,2685,2,804,2020-12-05
568,495,7784,2186,3,787,2020-08-19
569,114,9573,2743,4,923,2020-05-07
570,562,3702,8676,4,989,2020-03-19
571,903,8377,7531,1,624,2020-12-11
572,51,698,5713,4,715,2020-07-08
573,311,1005,7313,3,540,2020-02-12
574,960,7169,2893,1,847,2020-08-30
575,346,4127,2287,3,381,2020-06-10
576,1151,9741,9881,4,537,2020-06-15
577,897,4263,9156,2,650,2020-09-24
578,1213,9762,6522,2,642,2020-07-24
579,727,6293,6733,4,366,2020-01-09
580,939,9554,2138,2,278,2020-09-09
581,1064,2466,9684,4,965,2020-06-15
582,1308,4303,1877,2,358,2020-01-21
583,181,5522,964,1,417,2020-07-30
584,950,5119,5152,1,520,2020-07-29
585,551,8623,1186,3,428,2020-04-30
586,1395,8608,6843,2,466,2020-09-21
587,597,5104,9270,1,477,2020-02-06
588,1199,1959,4960,1,481,2020-11-04
589,84,7594,8584,4,873,2020-04-05
590,468,2384,5949,2,599,2020-09-02
591,427,9122,4743,3,276,2020-10-23
592,144,2416,2220,1,742,2020-03-18
593,967,3939,2192,1,864,2020-09-23
594,1113,895,3005,2,968,2020-12-23
595,595,8685,709,3,102,2020-08-26
596,605,3833,1093,3,945,2020-01-18
597,42,5818,9905,1,376,2020-01-16
598,176,41,1739,4,945,2020-10-07
599,789,6979,5429,1,832,2020-11-09
600,220,9793,6366,4,436,2020-07-11
601,1126,9556,174,3,124,2020-06-13
602,255,1695,8837,2,104,2020-10-07
603,748,18,6973,2,195,2020-08-18
604,509,1286,7780,3,839,2020-04-04
605,1216,9174,1401,4,650,2020-10-31
606,420,1555,6467,1,442,2020-01-21
607,377,5877,2348,1,323,2020-02-29
608,940,5057,3058,4,782,2020-03-10
609,282,261,6106,2,146,2020-05-08
610,133,9991,2874,1,998,2020-08-29
611,1148,317,9557,1,496,2020-03-26
612,614,7262,3322,4,153,2020-11-22
613,25,698,2998,4,818,2020-07-20
614,314,3138,7634,1,798,2020-02-10
615,838,5412,4309,2,608,2020-06-06
616,843,3853,6396,4,811,2020-11-16
617,676,9313,3766,2,210,2020-09-01
618,615,5591,5257,3,748,2020-05-21
619,1373,9777,1912,4,401,2020-02-29
620,1,9527,1065,3,445,2020-04-05
621,323,9991,6159,4,383,2020-06-18
622,1010,2231,5990,3,208,2020-05-26
623,110,6648,7927,3,810,2020-12-29
624,499,1063,3658,2,606,2020-10-30
625,1025,7262,4904,1,534,2020-02-10
626,81,3087,4311,1,386,2020-10-06
627,338,7758,7672,2,895,2020-12-07
628,56,1976,6085,1,268,2020-03-16
629,95,6149,3848,2,511,2020-01-24
630,430,4838,654,4,573,2020-10-11
631,794,8918,3567,1,164,2020-08-19
632,426,2926,8890,2,413,2020-09-07
633,247,895,7176,2,559,2020-05-11
634,791,9900,3093,4,943,2020-05-30
635,758,6471,6348,2,711,2020-01-23
636,1148,317,6689,2,496,2020-06-23
637,478,7489,8661,2,854,2020-07-12
638,1246,2813,1110,2,639,2020-11-13
639,180,5142,9002,2,584,2020-10-03
640,435,622,7902,3,103,2020-06-27
641,506,6869,1804,3,899,2020-06-08
642,81,3087,7311,4,386,2020-08-30
643,437,6253,2644,1,647,2020-02-29
644,690,5680,9043,4,537,2020-04-14
645,886,4758,2577,1,632,2020-09-10
646,552,6654,5471,2,202,2020-02-03
647,157,5104,3585,3,411,2020-01-14
648,1009,3418,2479,3,699,2020-06-14
649,517,4303,165,3,228,2020-02-20
650,286,2211,398,2,942,2020-12-02
651,874,317,8096,1,637,2020-06-01
652,1339,1197,8390,1,963,2020-07-13
653,1397,1276,4725,3,928,2020-06-25
654,444,5508,5032,2,645,2020-10-01
655,775,4267,7095,3,497,2020-06-11
656,528,2811,5636,1,424,2020-09-11
657,85,6611,5286,2,627,2020-05-31
658,241,5983,7367,4,630,2020-10-23
659,982,9358,7733,2,632,2020-08-05
660,978,7221,1579,1,579,2020-08-31
